name,en_react,en_prod,en_ts,f_barr,b_barr
Ir_Cat001,-1218.68943658,-1218.67795774,-1218.64816038,25.9012076238,18.6981264749
Ir_Cat002,-1375.81234498,-1375.80111737,-1375.77226679,25.1494449678,18.1040130305
Ir_Cat003,-1847.19718148,-1847.18519145,-1847.15638134,25.6024754513,18.078617721
Ir_Cat004,-1532.92812282,-1532.91381021,-1532.88783151,25.2831797924,16.3018810476
Ir_Cat005,-1519.44251402,-1519.43387863,-1519.40575104,23.0691191983,17.6503299371
Ir_Cat006,-1990.85128666,-1990.84565804,-1990.8155895,22.400307023,18.8682945011
Ir_Cat007,-1833.74181453,-1833.7311521,-1833.70570318,22.6602151829,15.9694390647
Ir_Cat008,-1999.53746702,-1999.52346152,-1999.49701496,25.3840519446,16.5954676424
Ir_Cat009,-1985.04997764,-1985.04013121,-1985.01333021,22.9966104755,16.8178821095
Ir_Cat010,-2442.84737679,-2442.83813637,-2442.81069452,23.0184729064,17.2200215725
Ir_Cat011,-2381.82200374,-2381.81244846,-2381.78572836,22.7631455661,16.7671165908
Ir_Cat012,-3822.93474989,-3822.92512748,-3822.89873676,22.5985812,16.5604275119
Ir_Cat013,-2142.1934671,-2142.18379494,-2142.15659362,23.138458998,17.0690867126
Ir_Cat014,-2142.18026578,-2142.16964565,-2142.1421914,23.8920351567,17.2278026904
Ir_Cat015,-2142.19382859,-2142.18401604,-2142.15722212,22.9709076866,16.8134393424
Ir_Cat016,-2900.60160136,-2900.59906807,-2900.5608526,25.5702340132,23.980570472
Ir_Cat017,-2285.8327976,-2285.83832189,-2285.79514321,23.6284874418,27.0950318974
Ir_Cat018,-2442.97278815,-2442.97498606,-2442.93529967,23.5243773405,24.9035867457
Ir_Cat019,-2682.60377804,-2682.59601601,-2682.56831979,22.2503887286,17.3796411641
Ir_Cat020,-2442.98088095,-2442.97361688,-2442.94386082,23.2304832664,18.6722103327
Ir_Cat021,-4123.71935106,-4123.7089651,-4123.68137103,23.8328296351,17.3155410683
Ir_Cat022,-2142.19512239,-2142.18082047,-2142.15030097,28.1258668535,19.1512761853
Ir_Cat023,-2299.32811157,-2299.32285649,-2299.29227658,22.4867966576,19.1891840342
Ir_Cat024,-1532.9412643,-1532.93100922,-1532.9018995,24.7017859657,18.2666258425
Ir_Cat025,-1847.20024012,-1847.19006236,-1847.16091671,24.6758133474,18.2891722586
Ir_Cat026,-2442.83559158,-2442.82840724,-2442.79846477,23.2974259796,18.7891843786
Ir_Cat027,-2442.9862824,-2442.97695061,-2442.95019803,22.6432849765,16.7874980995
Ir_Cat028,-2299.33232375,-2299.32482679,-2299.29462248,23.6579050871,18.953491466
Ir_Cat029,-2538.96406923,-2538.95051074,-2538.91947324,27.9844073868,19.4763261062
Ir_Cat030,-1297.25087455,-1297.23940232,-1297.21023099,25.5042200138,18.3052867027
Ir_Cat031,-1454.3698582,-1454.35962399,-1454.33052715,24.6806075199,18.25854352
Ir_Cat032,-1925.75489821,-1925.74515788,-1925.71541394,24.7767545256,18.6646049175
Ir_Cat033,-1611.4805594,-1611.4689643,-1611.44361943,23.1801821047,15.9041467013
Ir_Cat034,-1598.00399945,-1597.99860189,-1597.9686601,22.1757778488,18.7887576719
Ir_Cat035,-2069.4058597,-2069.40371542,-2069.37210801,21.179506116,19.8339500455
Ir_Cat036,-1912.29159995,-1912.29152704,-1912.25528637,22.7871164291,22.7413647113
Ir_Cat037,-2078.09125978,-2078.08004075,-2078.05409107,23.3237186278,16.2836707219
Ir_Cat038,-2063.61242381,-2063.60080027,-2063.57519229,23.3631324996,16.0692507259
Ir_Cat039,-2521.40984096,-2521.39894923,-2521.37245824,23.4580119359,16.6233478895
Ir_Cat040,-2460.38348167,-2460.37244312,-2460.3468452,22.9897329714,16.06293798
Ir_Cat041,-3901.49626036,-3901.48403752,-3901.45968364,22.9522392789,15.2822910619
Ir_Cat042,-2220.75597219,-2220.74447466,-2220.7182806,23.6518307952,16.4370214935
Ir_Cat043,-2220.73454344,-2220.71900875,-2220.69526102,24.6500917329,14.9019261783
Ir_Cat044,-2220.75597926,-2220.74437167,-2220.71858309,23.4664519387,16.1825789416
Ir_Cat045,-2979.16095089,-2979.15813552,-2979.12177006,24.5863430429,22.8196716219
Ir_Cat046,-2364.39676876,-2364.39547815,-2364.36021426,22.938296018,22.1284259822
Ir_Cat047,-2521.54453259,-2521.53550782,-2521.50050731,27.6262814401,21.9631525298
Ir_Cat048,-2761.16298839,-2761.16733869,-2761.1256403,23.4362812817,26.1661358597
Ir_Cat049,-2521.54260407,-2521.54000868,-2521.50687872,22.4179965159,20.7893646348
Ir_Cat050,-4202.28276564,-4202.27790467,-4202.24985278,20.6531323225,17.6028274679
Ir_Cat051,-2220.74669761,-2220.74103332,-2220.71260896,21.3909517171,17.8365559314
Ir_Cat052,-2377.87959848,-2377.87442221,-2377.84039884,24.5981464965,21.3499878969
Ir_Cat053,-1611.49957008,-1611.4896146,-1611.4599071,24.8888967483,18.6417384713
