name,en_react,en_prod,en_ts,f_barr,b_barr
Ir_Cat054,-1925.75820164,-1925.74884117,-1925.7189178,24.6509827964,18.777198947
Ir_Cat055,-2521.39719557,-2521.38141657,-2521.35940113,23.716370147,13.8148977466
Ir_Cat056,-2521.54653491,-2521.53836561,-2521.51088998,22.367532202,17.2412188435
Ir_Cat057,-2377.89050209,-2377.88002696,-2377.85234023,23.9469296876,17.3736860989
Ir_Cat058,-2617.51622426,-2617.51034688,-2617.48243638,21.2022156849,17.5141038997
Ir_Cat059,-1532.94238765,-1532.93136529,-1532.9017764,25.4839451819,18.5673095695
Ir_Cat060,-1690.0621428,-1690.05195903,-1690.02274995,24.7193876071,18.3289751863
Ir_Cat061,-2161.44712135,-2161.43575469,-2161.40768113,24.7491127321,17.6164255988
Ir_Cat062,-1847.17341684,-1847.16167966,-1847.13652795,23.1481289195,15.7829369661
Ir_Cat063,-1833.68854042,-1833.67614606,-1833.64552623,26.9918128597,19.2142342134
Ir_Cat064,-2305.09952846,-2305.09846614,-2305.06474528,21.8267758902,21.1601599981
Ir_Cat065,-2147.98472889,-2147.97508679,-2147.94814157,22.9588908794,16.9083815296
Ir_Cat066,-2313.78484,-2313.77283138,-2313.74756538,23.3901781586,15.8546550268
Ir_Cat067,-2299.30629023,-2299.29366367,-2299.26885877,23.4885967488,15.5653103967
Ir_Cat068,-2757.10439186,-2757.09261333,-2757.06647142,23.795436344,16.404296873
Ir_Cat069,-2696.07771171,-2696.06532125,-2696.04029943,23.4765611169,15.7014297575
Ir_Cat070,-4137.18998323,-4137.17835146,-4137.15337933,22.9692949871,15.6702488106
Ir_Cat071,-2456.45020645,-2456.4385275,-2456.41253122,23.6415647399,16.3129126647
Ir_Cat072,-2456.41809082,-2456.40495262,-2456.38037268,23.6684911723,15.4241458594
Ir_Cat073,-2456.45034262,-2456.4388797,-2456.41308541,23.3792532185,16.1861620209
Ir_Cat074,-3214.85505937,-3214.84824804,-3214.81498281,25.1484221275,20.8742478446
Ir_Cat075,-2600.10016391,-2600.09743589,-2600.06857042,19.8252151131,18.1133566468
Ir_Cat076,-2757.22915359,-2757.23018094,-2757.19499306,21.4360571,22.080728985
Ir_Cat077,-2996.86568721,-2996.86261206,-2996.83382311,19.9950254589,18.06533962
Ir_Cat078,-2757.23191448,-2757.22633249,-2757.19750904,21.5897404515,18.0869886977
Ir_Cat079,-4437.98136908,-4437.97823109,-4437.94979741,19.8115228557,17.8424043197
Ir_Cat080,-2456.44007819,-2456.43576446,-2456.40530794,21.8186621923,19.1117556369
Ir_Cat081,-2613.58132475,-2613.57296704,-2613.53935453,26.3367117672,21.092169344
Ir_Cat082,-1847.19093583,-1847.18196982,-1847.1521681,24.3271188684,18.7008624164
Ir_Cat083,-2161.4512293,-2161.44185081,-2161.41168665,24.8133885301,18.9282969595
Ir_Cat084,-2757.08828188,-2757.07404712,-2757.04591644,26.5847160718,17.6522689416
Ir_Cat085,-2757.24029252,-2757.23208889,-2757.2045362,22.4374304851,17.2895747256
Ir_Cat086,-2613.58301999,-2613.56846344,-2613.54289715,25.177463267,16.0430898547
Ir_Cat087,-2853.21484995,-2853.20455973,-2853.17530529,24.8146498243,18.3574390171
Ir_Cat088,-1375.8127833,-1375.8043065,-1375.77278344,25.1002921487,19.781019619
Ir_Cat089,-1532.92830159,-1532.92335475,-1532.89314068,22.0638050537,18.9596159587
Ir_Cat090,-2004.31381597,-2004.31041566,-2004.27853639,22.138271606,20.0045447781
Ir_Cat091,-1690.02767685,-1690.02464574,-1689.98997688,23.6570893247,21.7550390042
Ir_Cat092,-1676.55355171,-1676.55500918,-1676.52018827,20.9358755526,21.8504518236
Ir_Cat093,-2147.96845351,-2147.96710439,-2147.93176026,23.0253629609,22.1787773442
Ir_Cat094,-1990.85541944,-1990.84109864,-1990.82030624,22.0338665754,13.0474285277
Ir_Cat095,-2156.63868434,-2156.63376138,-2156.60268264,22.5914087663,19.5022045982
Ir_Cat096,-2142.16868917,-2142.16139477,-2142.13086931,23.7323214387,19.1550161417
Ir_Cat097,-2599.96666801,-2599.95980816,-2599.92859372,23.8919786806,19.5873576372
Ir_Cat098,-2538.94028493,-2538.9327314,-2538.90226943,23.8550873971,19.1151755637
Ir_Cat099,-3980.05209187,-3980.04483639,-3980.01521412,23.1411384635,18.5882558365
Ir_Cat100,-2299.31235436,-2299.30531246,-2299.27419796,23.9435034858,19.5246443378
Ir_Cat101,-2299.28426225,-2299.28197645,-2299.25266608,19.8268968388,18.3925356236
Ir_Cat102,-2299.30799819,-2299.30542805,-2299.27472382,20.8799832816,19.2671960152
Ir_Cat103,-3057.71228166,-3057.70097758,-3057.67928004,20.7088300654,13.6154124768
Ir_Cat104,-2442.95712818,-2442.94606973,-2442.91999692,23.300218397,16.3609359668
Ir_Cat105,-2600.10033756,-2600.09391328,-2600.06712782,20.8394273423,16.8081306117
Ir_Cat106,-2839.72613639,-2839.72023889,-2839.69361603,20.4068348434,16.7060975671
Ir_Cat107,-2600.10351941,-2600.09958123,-2600.06390373,24.8592155488,22.387970186
Ir_Cat108,-4280.82181505,-4280.83687895,-4280.80747037,9.00142297405,18.4541633313
Ir_Cat109,-2299.29837774,-2299.30019562,-2299.25987548,24.1605339214,25.3012708913
Ir_Cat110,-2456.42915189,-2456.43406687,-2456.39122433,23.7999042117,26.8841008542
Ir_Cat111,-1690.05785705,-1690.0541046,-1690.02282837,21.9808294724,19.6261314492
Ir_Cat112,-2004.31905252,-2004.31174408,-2004.27631361,26.8190720447,22.2329565144
Ir_Cat113,-2599.95435524,-2599.94812115,-2599.92181769,20.4176217318,16.505671033
Ir_Cat114,-2600.10493814,-2600.1037216,-2600.07202477,20.6534523518,19.8900619448
Ir_Cat115,-2456.44967815,-2456.44356216,-2456.41637793,20.8962044021,17.0583625751
Ir_Cat116,-2696.07689551,-2696.07564631,-2696.04422751,20.4994803462,19.7155954787
Ir_Cat117,-1369.05445955,-1369.04602243,-1369.01650012,23.8199029396,18.5255299869
Ir_Cat118,-1526.17545715,-1526.16883531,-1526.14284563,20.4640386095,16.308771102
Ir_Cat119,-1997.56579241,-1997.54862197,-1997.52151682,27.7833533432,17.008739124
Ir_Cat120,-1683.2910098,-1683.28170072,-1683.25392214,23.2728589828,17.4313228464
Ir_Cat121,-1669.79705427,-1669.8199325,-1669.7906915,3.99269862125,18.3490052895
Ir_Cat122,-2141.23298165,-2141.22631537,-2141.19993966,20.734162624,16.5510085943
Ir_Cat123,-1984.12862995,-1984.11909101,-1984.09441171,21.4722706733,15.4864952033
Ir_Cat124,-2149.90167416,-2149.89489509,-2149.87021823,19.7388949063,15.4849640802
Ir_Cat125,-2135.41103783,-2135.40639847,-2135.37805685,20.6958782693,17.7846357954
Ir_Cat126,-2593.21009146,-2593.20530912,-2593.17463742,22.2477469133,19.2467831311
Ir_Cat127,-2532.18301271,-2532.17872333,-2532.15041112,20.4578074401,17.766180741
Ir_Cat128,-3973.29491265,-3973.29026273,-3973.26252125,20.325911218,17.4080422439
Ir_Cat129,-2292.55494085,-2292.55104813,-2292.52170303,20.8570478093,18.4143290283
Ir_Cat130,-2292.53508334,-2292.53890778,-2292.50518248,18.7630737082,21.1629461405
Ir_Cat131,-2292.55489972,-2292.55012245,-2292.52165292,20.8626828444,17.8649005354
Ir_Cat132,-3050.95506894,-3050.95148032,-3050.92161569,20.9922321806,18.7403390389
Ir_Cat133,-2436.21816848,-2436.21477181,-2436.18665683,19.7738597354,17.6424170422
Ir_Cat134,-2593.36029738,-2593.35526677,-2593.32818122,20.1531955035,16.9964399379
Ir_Cat135,-2832.98542994,-2832.98000956,-2832.95020208,22.1058168146,18.7044768709
Ir_Cat136,-2593.35403345,-2593.35259459,-2593.31861629,22.2246043628,21.3217060438
Ir_Cat138,-2292.55045158,-2292.54344947,-2292.51781321,20.4808872394,16.0869966944
Ir_Cat139,-2449.68970012,-2449.68360874,-2449.65643186,20.8761491985,17.0537503805
Ir_Cat140,-1683.30451553,-1683.29852398,-1683.27179418,20.5329579778,16.7732034332
Ir_Cat141,-1997.57103978,-1997.56404233,-1997.53601253,21.9799321339,17.588965783
Ir_Cat142,-2593.20156964,-2593.19446819,-2593.16431898,23.3751430311,18.9189156923
Ir_Cat143,-2593.3617442,-2593.35385828,-2593.32616529,22.3261040246,17.3776143085
Ir_Cat144,-2449.69094267,-2449.69199818,-2449.65748693,20.9937946796,21.6561372321
Ir_Cat145,-2689.31736669,-2689.31494334,-2689.28440911,20.6811945471,19.1605194001
Ir_Cat146,-1604.75941804,-1604.75003658,-1604.7212911,23.9250170559,18.0380617821
Ir_Cat147,-1761.88382369,-1761.8748538,-1761.8450966,24.3016168824,18.6729256934
Ir_Cat148,-2233.26216454,-2233.25217755,-2233.22432008,23.7477581724,17.480827071
Ir_Cat149,-1918.99186039,-1918.98212077,-1918.9558581,22.5917789969,16.4800749204
Ir_Cat150,-1905.52698309,-1905.51965544,-1905.49114038,22.4916410307,17.8934710431
Ir_Cat151,-2376.93566691,-2376.93074709,-2376.90494259,19.279802681,16.1925688928
Ir_Cat152,-2219.82949501,-2219.81700594,-2219.79161763,23.768415785,15.9314057139
Ir_Cat154,-2371.1135977,-2371.11377458,-2371.07830696,22.1452746118,22.2562684924
Ir_Cat155,-2828.91534214,-2828.90556115,-2828.87840837,23.1762915458,17.0386274012
Ir_Cat156,-2767.88997411,-2767.88122987,-2767.85473533,22.1126692183,16.6255755481
Ir_Cat157,-4208.99774208,-4209.00121499,-4208.96261396,22.0432290166,24.2225130347
Ir_Cat158,-2528.26192667,-2528.25346156,-2528.22638745,22.3011981725,16.9892612289
Ir_Cat159,-2528.21910514,-2528.2092041,-2528.18495245,21.4311374257,15.2181407658
Ir_Cat160,-2528.26188961,-2528.2459948,-2528.22514252,23.0591480721,13.0850037966
Ir_Cat161,-3286.66068849,-3286.66603885,-3286.62442413,22.7562304115,26.1136321398
Ir_Cat162,-2671.92097074,-2671.91492534,-2671.88665843,21.531300492,17.7377545608
Ir_Cat163,-2829.06405204,-2829.06237854,-2829.03047569,21.0694786005,20.019341452
Ir_Cat164,-3068.69624827,-3068.6863772,-3068.66284728,20.9594385346,14.7652483344
Ir_Cat165,-2829.07107406,-2829.06747633,-2829.03874369,20.2876143133,18.03000456
Ir_Cat166,-4509.81209492,-4509.80252301,-4509.77809669,21.3342123083,15.3277478502
Ir_Cat167,-2528.24952701,-2528.24500376,-2528.2176129,20.026407209,17.1880248633
Ir_Cat168,-2685.38964713,-2685.38995826,-2685.35153832,23.9136403086,24.1088773395
Ir_Cat169,-1919.00622295,-1918.99685648,-1918.96968821,22.92589643,17.0483475235
Ir_Cat170,-2233.26673012,-2233.25993659,-2233.22972214,23.2228590258,18.9598544124
Ir_Cat171,-2828.90129375,-2828.88908597,-2828.8658548,22.2382777952,14.5777798712
Ir_Cat172,-2829.06760507,-2829.06093037,-2829.03243655,22.0685804008,17.8801427411
Ir_Cat173,-2685.39212516,-2685.38234146,-2685.35405305,23.8906107101,17.751246015
Ir_Cat174,-2925.0238098,-2925.01804126,-2924.99176994,20.1053165288,16.4855028775
Ir_Cat175,-1526.20460261,-1526.19535785,-1526.16617033,24.1166208065,18.3154460813
Ir_Cat176,-1683.32082155,-1683.31491703,-1683.28608352,21.7984438363,18.0933014434
Ir_Cat177,-2154.70577632,-2154.69991481,-2154.67068489,22.0202056937,18.3420524843
Ir_Cat178,-1840.43924786,-1840.42782943,-1840.39978905,24.7607781337,17.5956048336
Ir_Cat179,-1826.9704772,-1826.95822706,-1826.93405566,22.8548623546,15.1677831282
Ir_Cat180,-2298.38290881,-2298.3771464,-2298.34858039,21.5414096702,17.9254426523
Ir_Cat181,-2141.27717899,-2141.26393391,-2141.23946776,23.6641550816,15.3527415535
Ir_Cat182,-2307.04927622,-2307.03638553,-2307.00939011,25.0289129432,16.9398825067
Ir_Cat183,-2292.55620904,-2292.54394792,-2292.52111979,22.0188377229,14.3248684423
Ir_Cat184,-2750.35509727,-2750.35707141,-2750.3192366,22.5029111015,23.7417027059
Ir_Cat185,-2689.3286507,-2689.33030049,-2689.29344008,22.0949985508,23.1302574488
Ir_Cat186,-4130.45046531,-4130.44253922,-4130.41865606,19.960606563,14.98690979
Ir_Cat187,-2449.70016008,-2449.68860513,-2449.6648688,22.1456134671,14.89477257
Ir_Cat188,-2449.69764152,-2449.69045441,-2449.66128023,22.8170549073,18.3070751045
Ir_Cat189,-2449.7028927,-2449.69373712,-2449.66688103,22.5976650361,16.8524516081
Ir_Cat190,-3208.10565884,-3208.10214365,-3208.06879521,23.1322780295,20.9264629101
Ir_Cat191,-2593.365137,-2593.35480392,-2593.33074697,21.5800705302,15.0959646661
Ir_Cat192,-2750.51451083,-2750.50699878,-2750.48195196,20.4310002341,15.7171174946
Ir_Cat193,-2990.14005213,-2990.13170916,-2990.10739143,20.4948995268,15.2596065934
Ir_Cat194,-2750.51396888,-2750.50751951,-2750.48148166,20.3860391785,16.3389982344
Ir_Cat195,-4431.24837591,-4431.24287632,-4431.21508005,20.8934684602,17.4424234891
Ir_Cat196,-2449.70188579,-2449.6965449,-2449.66411756,23.6999231232,20.3484639098
Ir_Cat197,-2606.83015661,-2606.83329904,-2606.79231866,23.7436730854,25.7155777635
Ir_Cat198,-1840.44992389,-1840.44429908,-1840.41485291,22.0073731243,18.4777514136
Ir_Cat199,-2154.71002116,-2154.69867042,-2154.67344577,22.9514046912,15.8287075091
Ir_Cat200,-2750.34493258,-2750.3481337,-2750.31008314,21.8683546697,23.8770878801
Ir_Cat201,-2750.51437205,-2750.50700246,-2750.47860458,22.4444272159,17.8199394798
Ir_Cat202,-2606.83757428,-2606.82476421,-2606.79756782,25.1044337113,17.0659930907
Ir_Cat203,-2846.46956243,-2846.45886659,-2846.43069923,24.3870272006,17.6752859901
Ir_Cat204,-1609.11605573,-1609.1054534,-1609.0775072,24.1895687861,17.536505989
Ir_Cat205,-1766.23221034,-1766.22841008,-1766.19641727,22.4604914591,20.0757922067
Ir_Cat206,-2237.62269952,-2237.61617893,-2237.58379941,24.4101885759,20.3184564053
Ir_Cat207,-1923.33904548,-1923.33082692,-1923.29930843,24.935376377,19.7781519005
Ir_Cat208,-1909.86162464,-1909.85646967,-1909.83095447,19.2458230415,16.0110303944
Ir_Cat209,-2381.2762429,-2381.25807179,-2381.23597945,25.2656973778,13.8631532274
Ir_Cat210,-2224.16143864,-2224.1541523,-2224.12541931,22.6024717588,18.0302241885
Ir_Cat211,-2389.95214964,-2389.94278187,-2389.91027874,26.2743875233,20.3960228547
Ir_Cat212,-2375.47874578,-2375.46459577,-2375.43828108,25.3919836647,16.5127179647
Ir_Cat213,-2833.27718891,-2833.26377015,-2833.23627427,25.6743252889,17.2539259106
Ir_Cat214,-2772.25030385,-2772.23614688,-2772.2098847,25.3634006067,16.4797674406
Ir_Cat215,-4213.36340535,-4213.3495727,-4213.32323293,25.208575188,16.5284559028
Ir_Cat216,-2532.62288287,-2532.60913494,-2532.58206016,25.6166383408,16.9896816604
Ir_Cat217,-2532.57657455,-2532.57022718,-2532.55066886,16.256066579,12.2730316042
Ir_Cat218,-2532.62318985,-2532.60915886,-2532.582336,25.6361789866,16.8315994673
Ir_Cat219,-3291.00341479,-3291.01453452,-3290.98541716,11.2936838025,18.2714200148
Ir_Cat221,-2833.33168764,-2833.33057597,-2833.29244959,24.6222491363,23.9246656506
Ir_Cat223,-2833.41560596,-2833.40470705,-2833.38018947,22.2241839316,15.3850143671
Ir_Cat225,-2532.61681384,-2532.60843553,-2532.58388162,20.6652809061,15.4078117872
Ir_Cat226,-2689.73777867,-2689.73963109,-2689.70174593,22.610886661,23.7732978089
Ir_Cat227,-1923.36296921,-1923.3596957,-1923.32685095,22.6645512734,20.61039265
Ir_Cat228,-2237.62634452,-2237.61625261,-2237.58639536,25.0684774171,18.7357080189
Ir_Cat229,-2833.25602638,-2833.24329989,-2833.22010484,22.5411076046,14.5551142278
Ir_Cat230,-2833.41056858,-2833.40934071,-2833.37702761,21.0472773143,20.2767772245
Ir_Cat231,-2689.75991043,-2689.74046201,-2689.71643215,27.2830337438,15.0789654338
Ir_Cat232,-2929.38491421,-2929.37127803,-2929.34470939,25.2289064957,16.6720740023
Ir_Cat233,-1601.87128904,-1601.86157845,-1601.83231952,24.4537440104,18.3602565348
Ir_Cat234,-1758.99214326,-1758.98114914,-1758.95360574,24.1826599064,17.2837451623
Ir_Cat235,-2230.37845299,-2230.36998473,-2230.34016822,24.0240568802,18.7101432817
Ir_Cat236,-1916.10610438,-1916.09906261,-1916.06905138,23.2511095035,18.8323319316
Ir_Cat237,-1902.6194955,-1902.61190366,-1902.58609382,20.959871516,16.1959197935
Ir_Cat238,-2374.02977382,-2374.02390537,-2373.99790072,20.0006730446,16.3181649193
Ir_Cat239,-2216.91921358,-2216.91264197,-2216.88813604,19.5014515865,15.3777038814
Ir_Cat240,-2382.71808097,-2382.7100085,-2382.68057018,23.5383770775,18.4728254642
Ir_Cat241,-2368.22860959,-2368.21412447,-2368.18894267,24.8913691357,15.8018187272
Ir_Cat242,-2826.02718935,-2826.01316011,-2825.98749353,24.9095041602,16.1060227827
Ir_Cat243,-2765.00090799,-2764.98764476,-2764.96217068,24.3080300296,15.9852272038
Ir_Cat244,-4206.10846258,-4206.09943,-4206.07477211,21.1410899849,15.4730602253
Ir_Cat245,-2525.37232167,-2525.35843428,-2525.33306427,24.6343914454,15.9199222902
Ir_Cat246,-2525.35328181,-2525.35115406,-2525.32069279,20.4499196458,19.1147363072
Ir_Cat247,-2525.36852664,-2525.35831027,-2525.3337866,21.7997051301,15.3888358997
Ir_Cat248,-3283.75965227,-3283.76399137,-3283.72400758,22.3673815996,25.090208071
Ir_Cat249,-2669.01167284,-2669.00511563,-2668.97818795,21.0120865813,16.8973750129
Ir_Cat250,-2826.16163929,-2826.15740189,-2826.12722661,21.5942836205,18.9352748652
Ir_Cat251,-3065.78791398,-3065.78248018,-3065.75277882,22.0476466842,18.6378855631
Ir_Cat252,-2826.15282782,-2826.16440791,-2826.11878582,21.3616783989,28.6282948849
Ir_Cat253,-4506.89165275,-4506.88848239,-4506.86121084,19.1025877227,17.1131567045
Ir_Cat254,-2525.37086263,-2525.36255965,-2525.33641345,21.6171877173,16.4069888891
Ir_Cat255,-2682.50387932,-2682.50339367,-2682.46356715,25.2962696407,24.991519652
Ir_Cat256,-1916.12339508,-1916.11031367,-1916.08431651,24.5221739214,16.3134648731
Ir_Cat257,-2230.3834301,-2230.3710566,-2230.3444435,24.4644618727,16.6999730744
Ir_Cat258,-2826.01462917,-2826.00230568,-2825.98063309,21.3328631626,13.5997561146
Ir_Cat259,-2826.16112424,-2826.15977778,-2826.1254828,22.3653421936,21.5204257521
Ir_Cat260,-2682.51019069,-2682.5082582,-2682.47414305,22.6202365526,21.407580719
Ir_Cat261,-2922.14119903,-2922.13347455,-2922.10712848,21.3795937951,16.5324092126
Ir_Cat262,-1830.76990983,-1830.76198449,-1830.7304655,24.7516917961,19.7784656554
Ir_Cat263,-1987.890659,-1987.87941104,-1987.85188506,24.3310157023,17.2728139467
Ir_Cat264,-2459.27697891,-2459.269369,-2459.23891285,23.8868142775,19.1115234585
Ir_Cat265,-2144.99446486,-2144.99048202,-2144.96202113,20.3587487905,17.8594788535
Ir_Cat266,-2131.51901538,-2131.51347667,-2131.48452788,21.6412338813,18.1656407385
Ir_Cat267,-2602.92911794,-2602.92168857,-2602.89490168,21.4710282045,16.8090279502
Ir_Cat268,-2445.81823521,-2445.81194633,-2445.7869442,19.6354060394,15.6890740951
Ir_Cat269,-2611.61696586,-2611.60872744,-2611.57932374,23.6207879003,18.4511010854
Ir_Cat270,-2597.12305574,-2597.1142675,-2597.08810964,21.929009738,16.4143056498
Ir_Cat271,-3054.92298867,-3054.91336802,-3054.88608767,23.1557280595,17.1186787882
Ir_Cat272,-2993.89510695,-2993.88742214,-2993.86117406,21.2932108374,16.4709195569
Ir_Cat273,-4435.00839136,-4435.00076597,-4434.97467736,21.1558552831,16.3708506171
Ir_Cat274,-2754.26699562,-2754.2592334,-2754.23267182,21.5385105761,16.667643785
Ir_Cat275,-2754.2466641,-2754.25042683,-2754.21645635,18.9556500987,21.3167989195
Ir_Cat276,-2754.26920144,-2754.25864457,-2754.23413591,22.0039531975,15.3794169822
Ir_Cat277,-3512.59678498,-3512.59605353,-3512.55714575,24.8739933976,24.4150015739
Ir_Cat278,-2897.92123996,-2897.92150886,-2897.88314177,23.906976158,24.0757134624
Ir_Cat279,-3055.04742396,-3055.06032172,-3055.00996789,23.5040397575,31.5975066864
Ir_Cat280,-3294.68964103,-3294.68383294,-3294.65448708,22.0594375877,18.4148059356
Ir_Cat281,-3055.05128956,-3055.05789933,-3055.01592816,22.1896144333,26.3373079012
Ir_Cat282,-4735.80642427,-4735.8011308,-4735.75123083,34.6344079377,31.3127052243
Ir_Cat283,-2754.26958348,-2754.26183367,-2754.23524627,21.5469254786,16.6838460804
Ir_Cat284,-2911.40202853,-2911.40127093,-2911.36006432,26.3329404347,25.8575392377
Ir_Cat285,-2145.02150933,-2145.00878489,-2144.98238774,24.5491693801,16.5644623978
Ir_Cat286,-2459.28303839,-2459.27085939,-2459.24388471,24.5693061598,16.9268679594
Ir_Cat287,-3054.91333382,-3054.90080449,-3054.87912223,21.468097735,13.6058241315
Ir_Cat288,-3055.06372815,-3055.05625282,-3055.02994171,21.2013120711,16.5104714804
Ir_Cat289,-2911.40936707,-2911.40478847,-2911.37385,22.2872988371,19.4141838404
Ir_Cat290,-3151.0361825,-3151.02816359,-3151.00022878,22.5613008605,17.5293586559
Ir_Cat291,-1800.25730659,-1800.24743943,-1800.21844268,24.3874727322,18.1957360941
Ir_Cat292,-1957.38044799,-1957.37016011,-1957.34267091,23.7054765823,17.2497341474
Ir_Cat293,-2428.76297135,-2428.75609105,-2428.72505986,23.7898201343,19.4723665215
Ir_Cat294,-2114.49143082,-2114.48443708,-2114.45439162,23.2424498724,18.8538115819
Ir_Cat295,-2101.00445924,-2100.996981,-2100.97279588,19.8690592019,15.1763925585
Ir_Cat296,-2572.41614179,-2572.40827934,-2572.38228646,21.2445412005,16.3107791321
Ir_Cat297,-2415.30542758,-2415.2989168,-2415.27443011,19.4512069009,15.3656305984
Ir_Cat298,-2581.10358413,-2581.09506668,-2581.06596222,23.6081059331,18.2633251423
Ir_Cat299,-2566.61456206,-2566.60047421,-2566.57476263,24.9745204197,16.13426071
Ir_Cat300,-3024.4125074,-3024.3989265,-3024.37676196,22.4306031817,13.9084594132
Ir_Cat301,-2963.38150014,-2963.3724248,-2963.34714773,21.5564636228,15.8616015571
Ir_Cat302,-4404.49707639,-4404.48414815,-4404.45971771,23.4429266073,15.3303331888
Ir_Cat303,-2723.7524356,-2723.74512111,-2723.71857431,21.2482811573,16.6583691947
