name,en_react,en_prod,en_ts,f_barr,b_barr
CO_Cat001,-2496.79920608,-2496.79521727,-2496.78032711,11.8467330253,9.34371685655
CO_Cat002,-2653.92116675,-2653.91677556,-2653.90178824,12.1601991209,9.40468567971
CO_Cat003,-3125.3051559,-3125.30223505,-3125.28624833,11.8646797969,10.0318186738
CO_Cat004,-2811.03265844,-2811.03146754,-2811.01606518,10.4124282858,9.66512722231
CO_Cat005,-2797.55272779,-2797.55384158,-2797.53639074,10.2516540769,10.950567883
CO_Cat006,-3268.95035222,-3268.95422206,-3268.9376672,7.95997055765,10.3883319213
CO_Cat007,-3111.84680127,-3111.85061685,-3111.83410495,7.96706141506,10.361374113
CO_Cat008,-3277.63836048,-3277.64057963,-3277.62783828,6.60278046074,7.99531816779
CO_Cat009,-3263.1581714,-3263.16056092,-3263.14467668,8.46806499979,9.96751150035
CO_Cat010,-3720.95529188,-3720.95790835,-3720.94219275,8.21982851688,9.86168829821
CO_Cat011,-3659.92867272,-3659.93120838,-3659.91582609,8.06138236814,9.65253310686
CO_Cat012,-5101.04173295,-5101.04420688,-5101.02898389,8.00015626595,9.55257084368
CO_Cat013,-3420.30036146,-3420.30278904,-3420.28738064,8.14558786804,9.66891737984
CO_Cat014,-3420.286467,-3420.28618604,-3420.27301741,8.43974549592,8.26344042677
CO_Cat015,-3420.30052323,-3420.30323689,-3420.28773733,8.02327371629,9.72612114587
CO_Cat016,-4178.71086947,-4178.71212831,-4178.6995238,7.11951570892,7.90944976761
CO_Cat017,-3563.94810458,-3563.94739794,-3563.93266639,9.68761088763,9.24418757463
CO_Cat018,-3721.08439854,-3721.1003911,-3721.06869205,9.85597168663,19.8914550157
CO_Cat019,-3960.70950878,-3960.7075955,-3960.69137903,11.3765903575,10.1759889815
CO_Cat020,-3721.09009286,-3721.09261788,-3721.07640002,8.59238718182,10.1768612196
CO_Cat021,-5401.82394057,-5401.8220479,-5401.80591273,11.3126408641,10.124972459
CO_Cat022,-3420.29880948,-3420.29697618,-3420.28129758,10.9888836131,9.83847044684
