name,en_prod
CO_Cat204,-2887.21903600
CO_Cat205,-3044.33959741
CO_Cat206,-3515.72696504
CO_Cat207,-3201.43775383
CO_Cat208,-3187.97809087
CO_Cat210,-3502.26349598
CO_Cat211,-3668.05054618
CO_Cat212,-3653.58338987
CO_Cat213,-4111.38159568
CO_Cat214,-4050.35522948
CO_Cat215,-5491.46852322
CO_Cat216,-3810.72731613
CO_Cat217,-3810.69242850
CO_Cat218,-3810.72764562
CO_Cat219,-4569.12209484
CO_Cat223,-4111.51025384
CO_Cat225,-3810.71626672
CO_Cat226,-3967.84913294
CO_Cat227,-3201.47019131
CO_Cat228,-3515.72815239
CO_Cat229,-4111.36278767
CO_Cat230,-4111.52574232
CO_Cat231,-3967.85757786
CO_Cat232,-4207.48565456
CO_Cat233,-2879.97643972
CO_Cat234,-3037.09808618
CO_Cat235,-3508.48537485
CO_Cat236,-3194.21269799
CO_Cat237,-3180.73049252
CO_Cat238,-3652.13328158
CO_Cat239,-3495.01770778
CO_Cat240,-3660.82345714
CO_Cat241,-3646.33331328
CO_Cat242,-4104.13173889
CO_Cat243,-4043.10658585
CO_Cat244,-5484.21886342
CO_Cat245,-3803.47698083
CO_Cat247,-3803.47725222
CO_Cat248,-4561.88242457
CO_Cat249,-3947.13525526
CO_Cat250,-4104.26680846
CO_Cat251,-4343.89250664
CO_Cat252,-4104.26022982
CO_Cat253,-5785.01966381
CO_Cat254,-3803.47967481
CO_Cat255,-3960.61384282
CO_Cat256,-3194.22949657
CO_Cat257,-3508.48974255
CO_Cat258,-4104.12527470
CO_Cat259,-4104.26929850
CO_Cat261,-4200.24512768
CO_Cat262,-3108.87623665
CO_Cat263,-3265.99599866
CO_Cat264,-3737.38399825
CO_Cat265,-3423.10441541
CO_Cat266,-3409.62968018
CO_Cat267,-3881.02699837
CO_Cat268,-3723.92978868
CO_Cat269,-3889.72207155
CO_Cat270,-3875.23294826
CO_Cat271,-4333.03062713
CO_Cat272,-4272.00620945
CO_Cat273,-5713.11945799
CO_Cat274,-4032.37726234
CO_Cat276,-4032.37813799
CO_Cat277,-4790.70761581
CO_Cat278,-4176.02777841
CO_Cat279,-4333.15284903
CO_Cat280,-4572.79949531
CO_Cat281,-4333.16993075
CO_Cat282,-6013.91649745
CO_Cat283,-4032.37853207
CO_Cat284,-4189.51131531
CO_Cat285,-3423.12754815
CO_Cat286,-3737.38626692
CO_Cat287,-4333.02351770
CO_Cat288,-4333.17049688
CO_Cat289,-4189.51785753
CO_Cat290,-4429.14444290
CO_Cat291,-3078.36267537
CO_Cat292,-3235.48598369
CO_Cat293,-3706.87086669
CO_Cat294,-3392.59793715
CO_Cat295,-3379.11784775
CO_Cat296,-3850.52775041
CO_Cat297,-3693.41733351
CO_Cat298,-3859.20886483
CO_Cat299,-3844.71961280
CO_Cat300,-4302.52290141
CO_Cat301,-4241.49184519
CO_Cat302,-5682.60399577
CO_Cat303,-4001.86346555
CO_Cat305,-4001.79021419
CO_Cat306,-4760.19394906
CO_Cat307,-4145.51293843
CO_Cat308,-4302.63961314
CO_Cat309,-4542.27824071
CO_Cat310,-4302.65900305
CO_Cat311,-5983.40157199
CO_Cat312,-4001.85952098
CO_Cat313,-4158.99554971
CO_Cat314,-3392.61446830
CO_Cat315,-3706.87480012
CO_Cat316,-4302.51227388
CO_Cat317,-4302.66584420
CO_Cat318,-4159.00738767
CO_Cat319,-4398.62959735
