,name,en_react,en_prod,en_ts,f_barr,b_barr
34,CO_Cat035,-3347.51565083,-3347.51860809,-3347.50076041,9.34388000901,11.1995887528
35,CO_Cat036,-3190.3971419,-3190.39681489,-3190.38234358,9.28608638401,9.08088450236
36,CO_Cat038,-3341.71886589,-3341.72043291,-3341.70585417,8.16497791142,9.148297848130001
37,CO_Cat039,-3799.51610385,-3799.51775219,-3799.50288432,8.295380660689998,9.3297296699
38,CO_Cat040,-3738.49023183,-3738.4920533,-3738.47748353,7.99967935892,9.1426690878
39,CO_Cat041,-5179.60298182,-5179.60400245,-5179.59053348,7.811451609510001,8.45190663012
40,CO_Cat042,-3498.86223922,-3498.86364777,-3498.84903019,8.288791810700001,9.17267031704
41,CO_Cat043,-3498.84063464,-3498.83662045,-3498.82672139,8.73069655107,6.21175419104
42,CO_Cat044,-3498.86214578,-3498.86370176,-3498.84909077,8.19214279746,9.16853502922
44,CO_Cat046,-3642.50767708,-3642.50995149,-3642.4908196,10.5782288461,12.0054427278
45,CO_Cat047,-3799.64801939,-3799.65023085,-3799.63102341,10.6651389118,12.0528510705
46,CO_Cat048,-4039.27294565,-4039.27559539,-4039.25617392,10.5244199065,12.187156929
47,CO_Cat049,-3799.65559687,-3799.65121828,-3799.63441545,13.2915422736,10.5439354521
48,CO_Cat050,-5480.38750593,-5480.38608817,-5480.37326641,8.935434075469999,8.04577620697
49,CO_Cat051,-3498.85463103,-3498.85699845,-3498.84254632,7.58327032957,9.06884887016
50,CO_Cat052,-3655.98609034,-3655.98745799,-3655.9711916,9.34910088791,10.2073142557
51,CO_Cat053,-2889.60692659,-2889.60343794,-2889.58881104,11.3676797227,9.17851870537
52,CO_Cat054,-3203.86527458,-3203.86216256,-3203.84702563,11.4513894899,9.498567375650001
53,CO_Cat055,-3799.49884619,-3799.49964655,-3799.48527213,8.51785160378,9.02008510697
54,CO_Cat056,-3799.66044075,-3799.65741061,-3799.64243377,11.299551016199999,9.39810938007
55,CO_Cat057,-3655.99975006,-3655.99665189,-3655.9838999,9.94612597674,8.00199486903
56,CO_Cat058,-3895.62036808,-3895.61847148,-3895.60436272,10.043515450800001,8.85338093322
57,CO_Cat059,-2811.05163277,-2811.04698032,-2811.03304699,11.662753515,8.74329694156
58,CO_Cat060,-2968.16994811,-2968.16676358,-2968.15184093,11.3624274681,9.364104640039999
59,CO_Cat061,-3439.55277846,-3439.55199002,-3439.53651191,10.207414657100001,9.71266106705
60,CO_Cat062,-3125.27644042,-3125.2781905,-3125.26475821,7.33069775621,8.428889581950001
61,CO_Cat063,-3111.79582763,-3111.79375139,-3111.77787657,11.2644606851,9.96160036088
62,CO_Cat064,-3583.21051803,-3583.21337014,-3583.19549064,9.42982998513,11.2195561051
63,CO_Cat065,-3426.09080436,-3426.090559,-3426.07633056,9.08244700133,8.928481270399999
64,CO_Cat066,-3591.88734372,-3591.8892562,-3591.87566418,7.329022305589999,8.52912167421
65,CO_Cat067,-3577.41249091,-3577.41441056,-3577.39963256,8.06873677932,9.27333539084
66,CO_Cat068,-4035.21000093,-4035.21176844,-4035.19654245,8.445324055739999,9.554453371960001
67,CO_Cat069,-3974.18386942,-3974.18602875,-3974.17105469,8.04136481504,9.39636490356
68,CO_Cat070,-5415.29625823,-5415.298768600001,-5415.28368197,7.891722624510001,9.467003648010001
69,CO_Cat071,-3734.55614275,-3734.55801955,-3734.54301237,8.23943818883,9.41714801842
70,CO_Cat072,-3734.52566908,-3734.52547921,-3734.51586634,6.15131247628,6.03216724738
71,CO_Cat073,-3734.55650655,-3734.55852527,-3734.54353744,8.138239731599999,9.405005709310002
