name,en_ts
CO_Cat204,-2887.20603144
CO_Cat205,-3044.32233485
CO_Cat206,-3515.70915832
CO_Cat207,-3201.42513532
CO_Cat208,-3187.96010883
CO_Cat210,-3502.24872301
CO_Cat211,-3668.03558506
CO_Cat212,-3653.56980438
CO_Cat213,-4111.36719278
CO_Cat214,-4050.34132805
CO_Cat215,-5491.45463543
CO_Cat216,-3810.71332850
CO_Cat217,-3810.67867545
CO_Cat218,-3810.71381567
CO_Cat219,-4569.11669404
CO_Cat223,-4111.50327153
CO_Cat225,-3810.70226802
CO_Cat226,-3967.83089353
CO_Cat227,-3201.45297818
CO_Cat228,-3515.71224385
CO_Cat229,-4111.35472452
CO_Cat230,-4111.50751420
CO_Cat231,-3967.84609149
CO_Cat232,-4207.46715624
CO_Cat233,-2879.96096812
CO_Cat234,-3037.08288273
CO_Cat235,-3508.46910267
CO_Cat236,-3194.19624796
CO_Cat237,-3180.71476253
CO_Cat238,-3652.11432615
CO_Cat239,-3495.00213574
CO_Cat240,-3660.80753609
CO_Cat241,-3646.31969453
CO_Cat242,-4104.11773261
CO_Cat243,-4043.09242366
CO_Cat244,-5484.20484105
CO_Cat245,-3803.46340542
CO_Cat247,-3803.46419696
CO_Cat248,-4561.86815442
CO_Cat249,-3947.10883889
CO_Cat250,-4104.23729677
CO_Cat251,-4343.86397999
CO_Cat252,-4104.23768530
CO_Cat253,-5785.00246288
CO_Cat254,-3803.46479582
CO_Cat255,-3960.59768213
CO_Cat256,-3194.21354176
CO_Cat257,-3508.47338207
CO_Cat258,-4104.11141975
CO_Cat259,-4104.26318627
CO_Cat261,-4200.22993866
CO_Cat262,-3108.86020786
CO_Cat263,-3265.98069220
CO_Cat264,-3737.36698623
CO_Cat265,-3423.08990641
CO_Cat266,-3409.61374711
CO_Cat267,-3881.01708257
CO_Cat268,-3723.91362332
CO_Cat269,-3889.70604471
CO_Cat270,-3875.21918472
CO_Cat271,-4333.01343109
CO_Cat272,-4271.99226417
CO_Cat273,-5713.10249152
CO_Cat274,-4032.36111908
CO_Cat276,-4032.36430820
CO_Cat277,-4790.69449203
CO_Cat278,-4176.00984705
CO_Cat279,-4333.13654494
CO_Cat280,-4572.78717683
CO_Cat281,-4333.14893502
CO_Cat282,-6013.89819905
CO_Cat283,-4032.36375209
CO_Cat284,-4189.49724360
CO_Cat285,-3423.11142320
CO_Cat286,-3737.37123232
CO_Cat287,-4333.00963952
CO_Cat288,-4333.16428245
CO_Cat289,-4189.50277656
CO_Cat290,-4429.12938265
CO_Cat291,-3078.34692991
CO_Cat292,-3235.47203880
CO_Cat293,-3706.85370217
CO_Cat294,-3392.58164975
CO_Cat295,-3379.10177747
CO_Cat296,-3850.51183651
CO_Cat297,-3693.40130311
CO_Cat298,-3859.19301567
CO_Cat299,-3844.70596877
CO_Cat300,-4302.50695711
CO_Cat301,-4241.47765839
CO_Cat302,-5682.58990740
CO_Cat303,-4001.84735156
CO_Cat305,-4001.77572125
CO_Cat306,-4760.18095601
CO_Cat307,-4145.49551237
CO_Cat308,-4302.62336075
CO_Cat309,-4542.24844337
CO_Cat310,-4302.63986553
CO_Cat311,-5983.38316044
CO_Cat312,-4001.84470039
CO_Cat313,-4158.97402777
CO_Cat314,-3392.59879292
CO_Cat315,-3706.85825734
CO_Cat316,-4302.49835888
CO_Cat317,-4302.65022857
CO_Cat318,-4158.99106194
CO_Cat319,-4398.61464556
CO_Cat320,-3798.90421910
CO_Cat321,-3956.02969351
CO_Cat322,-4427.41148077
CO_Cat323,-4113.13901419
CO_Cat324,-4099.65701989
CO_Cat325,-4571.06745871
CO_Cat326,-4413.95736712
CO_Cat327,-4579.75087557
CO_Cat328,-4565.26245905
CO_Cat329,-5023.06425020
CO_Cat330,-4962.03430257
CO_Cat331,-6403.14608533
CO_Cat332,-4722.40586920
CO_Cat334,-4722.40850743
CO_Cat335,-5480.81453973
CO_Cat336,-4866.05161855
CO_Cat337,-5023.19005349
CO_Cat338,-5262.82834079
CO_Cat339,-5023.18325262
CO_Cat340,-6703.92488243
CO_Cat341,-4722.40198544
CO_Cat342,-4879.53013256
CO_Cat343,-4113.15558410
CO_Cat344,-4427.41614566
CO_Cat345,-5023.05545365
CO_Cat346,-5023.20591432
CO_Cat347,-4879.54689788
CO_Cat348,-5119.17208451
CO_Cat349,-2958.53401139
CO_Cat350,-3115.65499013
CO_Cat351,-3587.04079296
CO_Cat352,-3272.76317633
CO_Cat353,-3259.28708330
CO_Cat354,-3730.68943709
CO_Cat355,-3573.58631793
CO_Cat356,-3739.37968731
CO_Cat357,-3724.89544766
CO_Cat358,-4182.68818375
CO_Cat359,-4121.66280314
CO_Cat360,-5562.77583200
CO_Cat361,-3882.03456092
CO_Cat362,-3882.02448332
CO_Cat363,-3882.03664638
CO_Cat364,-4640.36498606
CO_Cat365,-4025.68194673
CO_Cat366,-4182.83180091
CO_Cat367,-4422.45846707
CO_Cat368,-4182.82512943
CO_Cat369,-5863.57101189
CO_Cat370,-3882.03677625
CO_Cat371,-4039.16503084
CO_Cat372,-3272.78489968
CO_Cat373,-3587.04519526
CO_Cat374,-4182.68278103
