name,en_prod
Ir_Cat001,-1218.67795774
Ir_Cat002,-1375.80111737
Ir_Cat003,-1847.18519145
Ir_Cat004,-1532.91381021
Ir_Cat005,-1519.43387863
Ir_Cat006,-1990.84565804
Ir_Cat007,-1833.73115210
Ir_Cat008,-1999.52346152
Ir_Cat009,-1985.04013121
Ir_Cat010,-2442.83813637
Ir_Cat011,-2381.81244846
Ir_Cat012,-3822.92512748
Ir_Cat013,-2142.18379494
Ir_Cat014,-2142.16964565
Ir_Cat015,-2142.18401604
Ir_Cat016,-2900.59906807
Ir_Cat017,-2285.83832189
Ir_Cat018,-2442.97498606
Ir_Cat019,-2682.59601601
Ir_Cat020,-2442.97361688
Ir_Cat021,-4123.70896510
Ir_Cat022,-2142.18082047
Ir_Cat023,-2299.32285649
Ir_Cat024,-1532.93100922
Ir_Cat025,-1847.19006236
Ir_Cat026,-2442.82840724
Ir_Cat027,-2442.97695061
Ir_Cat028,-2299.32482679
Ir_Cat029,-2538.95051074
Ir_Cat030,-1297.23940232
Ir_Cat031,-1454.35962399
Ir_Cat032,-1925.74515788
Ir_Cat033,-1611.46896430
Ir_Cat034,-1597.99860189
Ir_Cat035,-2069.40371542
Ir_Cat036,-1912.29152704
Ir_Cat037,-2078.08004075
Ir_Cat038,-2063.60080027
Ir_Cat039,-2521.39894923
Ir_Cat040,-2460.37244312
Ir_Cat041,-3901.48403752
Ir_Cat042,-2220.74447466
Ir_Cat043,-2220.71900875
Ir_Cat044,-2220.74437167
Ir_Cat045,-2979.15813552
Ir_Cat046,-2364.39547815
Ir_Cat047,-2521.53550782
Ir_Cat048,-2761.16733869
Ir_Cat049,-2521.54000868
Ir_Cat050,-4202.27790467
Ir_Cat051,-2220.74103332
Ir_Cat052,-2377.87442221
Ir_Cat053,-1611.48961460
Ir_Cat054,-1925.74884117
Ir_Cat055,-2521.38141657
Ir_Cat056,-2521.53836561
Ir_Cat057,-2377.88002696
Ir_Cat058,-2617.51034688
Ir_Cat059,-1532.93136529
Ir_Cat060,-1690.05195903
Ir_Cat061,-2161.43575469
Ir_Cat062,-1847.16167966
Ir_Cat063,-1833.67614606
Ir_Cat064,-2305.09846614
Ir_Cat065,-2147.97508679
Ir_Cat066,-2313.77283138
Ir_Cat067,-2299.29366367
Ir_Cat068,-2757.09261333
Ir_Cat069,-2696.06532125
Ir_Cat070,-4137.17835146
Ir_Cat071,-2456.43852750
Ir_Cat072,-2456.40495262
Ir_Cat073,-2456.43887970
Ir_Cat074,-3214.84824804
Ir_Cat075,-2600.09743589
Ir_Cat076,-2757.23018094
Ir_Cat077,-2996.86261206
Ir_Cat078,-2757.22633249
Ir_Cat079,-4437.97823109
Ir_Cat080,-2456.43576446
Ir_Cat081,-2613.57296704
Ir_Cat082,-1847.18196982
Ir_Cat083,-2161.44185081
Ir_Cat084,-2757.07404712
Ir_Cat085,-2757.23208889
Ir_Cat086,-2613.56846344
Ir_Cat087,-2853.20455973
Ir_Cat088,-1375.80430650
Ir_Cat089,-1532.92335475
Ir_Cat090,-2004.31041566
Ir_Cat091,-1690.02464574
Ir_Cat092,-1676.55500918
Ir_Cat093,-2147.96710439
Ir_Cat094,-1990.84109864
Ir_Cat095,-2156.63376138
Ir_Cat096,-2142.16139477
Ir_Cat097,-2599.95980816
Ir_Cat098,-2538.93273140
Ir_Cat099,-3980.04483639
Ir_Cat100,-2299.30531246
Ir_Cat101,-2299.28197645
Ir_Cat102,-2299.30542805
Ir_Cat103,-3057.70097758
Ir_Cat104,-2442.94606973
Ir_Cat105,-2600.09391328
Ir_Cat106,-2839.72023889
Ir_Cat107,-2600.09958123
Ir_Cat108,-4280.83687895
Ir_Cat109,-2299.30019562
Ir_Cat110,-2456.43406687
Ir_Cat111,-1690.05410460
Ir_Cat112,-2004.31174408
Ir_Cat113,-2599.94812115
Ir_Cat114,-2600.10372160
Ir_Cat115,-2456.44356216
Ir_Cat116,-2696.07564631
Ir_Cat117,-1369.04602243
Ir_Cat118,-1526.16883531
Ir_Cat119,-1997.54862197
Ir_Cat120,-1683.28170072
Ir_Cat121,-1669.81993250
Ir_Cat122,-2141.22631537
Ir_Cat123,-1984.11909101
Ir_Cat124,-2149.89489509
Ir_Cat125,-2135.40639847
Ir_Cat126,-2593.20530912
Ir_Cat127,-2532.17872333
Ir_Cat128,-3973.29026273
Ir_Cat129,-2292.55104813
Ir_Cat130,-2292.53890778
Ir_Cat131,-2292.55012245
Ir_Cat132,-3050.95148032
Ir_Cat133,-2436.21477181
Ir_Cat134,-2593.35526677
Ir_Cat135,-2832.98000956
Ir_Cat136,-2593.35259459
Ir_Cat138,-2292.54344947
Ir_Cat139,-2449.68360874
Ir_Cat140,-1683.29852398
Ir_Cat141,-1997.56404233
Ir_Cat142,-2593.19446819
Ir_Cat143,-2593.35385828
Ir_Cat144,-2449.69199818
Ir_Cat145,-2689.31494334
Ir_Cat146,-1604.75003658
Ir_Cat147,-1761.87485380
Ir_Cat148,-2233.25217755
Ir_Cat149,-1918.98212077
Ir_Cat150,-1905.51965544
Ir_Cat151,-2376.93074709
Ir_Cat152,-2219.81700594
Ir_Cat154,-2371.11377458
Ir_Cat155,-2828.90556115
Ir_Cat156,-2767.88122987
Ir_Cat157,-4209.00121499
Ir_Cat158,-2528.25346156
Ir_Cat159,-2528.20920410
Ir_Cat160,-2528.24599480
Ir_Cat161,-3286.66603885
Ir_Cat162,-2671.91492534
Ir_Cat163,-2829.06237854
Ir_Cat164,-3068.68637720
Ir_Cat165,-2829.06747633
Ir_Cat166,-4509.80252301
Ir_Cat167,-2528.24500376
Ir_Cat168,-2685.38995826
Ir_Cat169,-1918.99685648
Ir_Cat170,-2233.25993659
Ir_Cat171,-2828.88908597
Ir_Cat172,-2829.06093037
Ir_Cat173,-2685.38234146
