name,en_react
Ir_Cat001,-1218.68943658
Ir_Cat002,-1375.81234498
Ir_Cat003,-1847.19718148
Ir_Cat004,-1532.92812282
Ir_Cat005,-1519.44251402
Ir_Cat006,-1990.85128666
Ir_Cat007,-1833.74181453
Ir_Cat008,-1999.53746702
Ir_Cat009,-1985.04997764
Ir_Cat010,-2442.84737679
Ir_Cat011,-2381.82200374
Ir_Cat012,-3822.93474989
Ir_Cat013,-2142.19346710
Ir_Cat014,-2142.18026578
Ir_Cat015,-2142.19382859
Ir_Cat016,-2900.60160136
Ir_Cat017,-2285.83279760
Ir_Cat018,-2442.97278815
Ir_Cat019,-2682.60377804
Ir_Cat020,-2442.98088095
Ir_Cat021,-4123.71935106
Ir_Cat022,-2142.19512239
Ir_Cat023,-2299.32811157
Ir_Cat024,-1532.94126430
Ir_Cat025,-1847.20024012
Ir_Cat026,-2442.83559158
Ir_Cat027,-2442.98628240
Ir_Cat028,-2299.33232375
Ir_Cat029,-2538.96406923
Ir_Cat030,-1297.25087455
Ir_Cat031,-1454.36985820
Ir_Cat032,-1925.75489821
Ir_Cat033,-1611.48055940
Ir_Cat034,-1598.00399945
Ir_Cat035,-2069.40585970
Ir_Cat036,-1912.29159995
Ir_Cat037,-2078.09125978
Ir_Cat038,-2063.61242381
Ir_Cat039,-2521.40984096
Ir_Cat040,-2460.38348167
Ir_Cat041,-3901.49626036
Ir_Cat042,-2220.75597219
Ir_Cat043,-2220.73454344
Ir_Cat044,-2220.75597926
Ir_Cat045,-2979.16095089
Ir_Cat046,-2364.39676876
Ir_Cat047,-2521.54453259
Ir_Cat048,-2761.16298839
Ir_Cat049,-2521.54260407
Ir_Cat050,-4202.28276564
Ir_Cat051,-2220.74669761
Ir_Cat052,-2377.87959848
Ir_Cat053,-1611.49957008
Ir_Cat054,-1925.75820164
Ir_Cat055,-2521.39719557
Ir_Cat056,-2521.54653491
Ir_Cat057,-2377.89050209
Ir_Cat058,-2617.51622426
Ir_Cat059,-1532.94238765
Ir_Cat060,-1690.06214280
Ir_Cat061,-2161.44712135
Ir_Cat062,-1847.17341684
Ir_Cat063,-1833.68854042
Ir_Cat064,-2305.09952846
Ir_Cat065,-2147.98472889
Ir_Cat066,-2313.78484000
Ir_Cat067,-2299.30629023
Ir_Cat068,-2757.10439186
Ir_Cat069,-2696.07771171
Ir_Cat070,-4137.18998323
Ir_Cat071,-2456.45020645
Ir_Cat072,-2456.41809082
Ir_Cat073,-2456.45034262
Ir_Cat074,-3214.85505937
Ir_Cat075,-2600.10016391
Ir_Cat076,-2757.22915359
Ir_Cat077,-2996.86568721
Ir_Cat078,-2757.23191448
Ir_Cat079,-4437.98136908
Ir_Cat080,-2456.44007819
Ir_Cat081,-2613.58132475
Ir_Cat082,-1847.19093583
Ir_Cat083,-2161.45122930
Ir_Cat084,-2757.08828188
Ir_Cat085,-2757.24029252
Ir_Cat086,-2613.58301999
Ir_Cat087,-2853.21484995
Ir_Cat088,-1375.81278330
Ir_Cat089,-1532.92830159
Ir_Cat090,-2004.31381597
Ir_Cat091,-1690.02767685
Ir_Cat092,-1676.55355171
Ir_Cat093,-2147.96845351
Ir_Cat094,-1990.85541944
Ir_Cat095,-2156.63868434
Ir_Cat096,-2142.16868917
Ir_Cat097,-2599.96666801
Ir_Cat098,-2538.94028493
Ir_Cat099,-3980.05209187
Ir_Cat100,-2299.31235436
Ir_Cat101,-2299.28426225
Ir_Cat102,-2299.30799819
Ir_Cat103,-3057.71228166
Ir_Cat104,-2442.95712818
Ir_Cat105,-2600.10033756
Ir_Cat106,-2839.72613639
Ir_Cat107,-2600.10351941
Ir_Cat108,-4280.82181505
Ir_Cat109,-2299.29837774
Ir_Cat110,-2456.42915189
Ir_Cat111,-1690.05785705
Ir_Cat112,-2004.31905252
Ir_Cat113,-2599.95435524
Ir_Cat114,-2600.10493814
Ir_Cat115,-2456.44967815
Ir_Cat116,-2696.07689551
Ir_Cat117,-1369.05445955
Ir_Cat118,-1526.17545715
Ir_Cat119,-1997.56579241
Ir_Cat120,-1683.29100980
Ir_Cat121,-1669.79705427
Ir_Cat122,-2141.23298165
Ir_Cat123,-1984.12862995
Ir_Cat124,-2149.90167416
Ir_Cat125,-2135.41103783
Ir_Cat126,-2593.21009146
Ir_Cat127,-2532.18301271
Ir_Cat128,-3973.29491265
Ir_Cat129,-2292.55494085
Ir_Cat130,-2292.53508334
Ir_Cat131,-2292.55489972
Ir_Cat132,-3050.95506894
Ir_Cat133,-2436.21816848
Ir_Cat134,-2593.36029738
Ir_Cat135,-2832.98542994
Ir_Cat136,-2593.35403345
Ir_Cat138,-2292.55045158
Ir_Cat139,-2449.68970012
Ir_Cat140,-1683.30451553
