name,en_prod
Rh_Cat276,-2760.43940177
Rh_Cat277,-3518.77647463
Rh_Cat278,-2904.09105752
Rh_Cat279,-3061.23600990
Rh_Cat27,-2449.16178239
Rh_Cat280,-3300.86146018
Rh_Cat281,-3061.24164955
Rh_Cat282,-4741.97658402
Rh_Cat283,-2760.43737504
Rh_Cat284,-2917.58787089
Rh_Cat285,-2151.19067175
Rh_Cat286,-2465.45290181
Rh_Cat287,-3061.08499146
Rh_Cat288,-3061.23593216
Rh_Cat289,-2917.58590020
Rh_Cat28,-2305.50590997
Rh_Cat290,-3157.20822674
Rh_Cat291,-1806.42844238
Rh_Cat292,-1963.55138146
Rh_Cat293,-2434.93694305
Rh_Cat294,-2120.66586907
Rh_Cat295,-2107.17651041
Rh_Cat296,-2578.58845803
Rh_Cat297,-2421.47358922
Rh_Cat298,-2587.27696820
Rh_Cat299,-2572.78108429
Rh_Cat29,-2545.13149159
Rh_Cat2,-1381.98188558
Rh_Cat300,-3030.58100243
Rh_Cat301,-2969.55284392
Rh_Cat302,-4410.66498599
Rh_Cat303,-2729.92646501
Rh_Cat304,-2729.91552566
Rh_Cat305,-2729.84847955
Rh_Cat306,-3488.26208204
Rh_Cat307,-2873.57614334
Rh_Cat308,-3030.71125097
Rh_Cat309,-3270.34295650
Rh_Cat30,-1303.42000760
Rh_Cat310,-3030.72580467
Rh_Cat311,-4711.46108048
Rh_Cat312,-2729.92301768
Rh_Cat313,-2887.06062403
Rh_Cat314,-2120.67734799
Rh_Cat315,-2434.93820507
Rh_Cat316,-3030.57339367
Rh_Cat318,-2887.08433837
Rh_Cat319,-3126.69304896
Rh_Cat31,-1460.53978716
Rh_Cat320,-2526.98537001
Rh_Cat321,-2684.10543202
Rh_Cat322,-3155.49373807
Rh_Cat323,-2841.22306661
Rh_Cat324,-2827.73313425
Rh_Cat325,-3299.14683852
Rh_Cat326,-3142.02935457
Rh_Cat327,-3307.83415407
Rh_Cat328,-3293.33630701
Rh_Cat329,-3751.13818567
Rh_Cat32,-1931.92511425
Rh_Cat330,-3690.10808044
Rh_Cat331,-5131.22030171
Rh_Cat332,-3450.48399049
Rh_Cat333,-3450.46200893
Rh_Cat334,-3450.48424134
Rh_Cat335,-4208.89846027
Rh_Cat336,-3594.14313492
Rh_Cat337,-3751.26677093
Rh_Cat338,-3990.89824942
Rh_Cat339,-3751.28133839
Rh_Cat33,-1617.65024820
Rh_Cat340,-5432.01309761
Rh_Cat341,-3450.48681691
Rh_Cat342,-3607.61707800
Rh_Cat343,-2841.23410050
Rh_Cat344,-3155.49576290
Rh_Cat345,-3751.13169624
Rh_Cat346,-3751.27727035
Rh_Cat347,-3607.62856500
Rh_Cat348,-3847.25628562
Rh_Cat349,-1686.61424420
Rh_Cat34,-1604.17230494
Rh_Cat350,-1843.73328215
Rh_Cat351,-2315.12335568
Rh_Cat352,-2000.84633913
Rh_Cat353,-1987.36225081
Rh_Cat354,-2458.77866055
Rh_Cat355,-2301.65891218
Rh_Cat356,-2467.46372542
Rh_Cat357,-2452.96756511
Rh_Cat358,-2910.76785714
Rh_Cat359,-2849.74082538
Rh_Cat35,-2075.57813189
Rh_Cat360,-4290.85376983
Rh_Cat361,-2610.11206112
Rh_Cat362,-2610.10321537
Rh_Cat363,-2610.11257457
Rh_Cat364,-3368.44636466
Rh_Cat365,-2753.76269975
Rh_Cat366,-2910.90758206
Rh_Cat367,-3150.52965530
Rh_Cat368,-2910.91247870
Rh_Cat369,-4591.64840464
Rh_Cat36,-1918.46916824
Rh_Cat370,-2610.11015686
Rh_Cat371,-2767.24712107
Rh_Cat372,-2000.86400490
Rh_Cat373,-2315.12554741
Rh_Cat374,-2910.75851601
Rh_Cat375,-2910.91132610
Rh_Cat376,-2767.25508453
Rh_Cat377,-3006.88109321
Rh_Cat378,-1686.61331329
Rh_Cat379,-1843.72525599
Rh_Cat37,-2084.25863942
Rh_Cat380,-2315.11502886
Rh_Cat381,-2000.83962523
Rh_Cat382,-1987.35696490
Rh_Cat383,-2458.76581301
Rh_Cat384,-2301.65821420
Rh_Cat385,-2467.45091737
Rh_Cat386,-2452.96328300
Rh_Cat387,-2910.76147616
Rh_Cat388,-2849.73593404
Rh_Cat389,-4290.84856695
Rh_Cat38,-2069.78242543
Rh_Cat390,-2610.10710843
Rh_Cat391,-2610.07932809
Rh_Cat392,-2610.10751748
Rh_Cat393,-3368.48939937
Rh_Cat394,-2753.76410694
Rh_Cat395,-2910.90045932
Rh_Cat396,-3150.52194316
Rh_Cat397,-2910.90556026
Rh_Cat398,-4591.64171811
Rh_Cat399,-2610.10931479
Rh_Cat39,-2527.57940856
Rh_Cat3,-1853.36746409
Rh_Cat400,-2767.24741187
Rh_Cat401,-2000.85815325
Rh_Cat402,-2315.12553180
Rh_Cat403,-2910.74027986
Rh_Cat404,-2910.90468653
Rh_Cat405,-2767.25202148
Rh_Cat406,-3006.88025640
Rh_Cat407,-1686.61497079
Rh_Cat408,-1843.73834041
Rh_Cat409,-2315.12341114
Rh_Cat40,-2466.55330307
Rh_Cat410,-2000.85328184
Rh_Cat411,-1987.36301715
Rh_Cat412,-2458.77476374
Rh_Cat413,-2301.65933141
Rh_Cat414,-2467.46473539
Rh_Cat415,-2452.96907169
Rh_Cat416,-2910.76819311
Rh_Cat417,-2849.74213239
Rh_Cat418,-4290.85474710
Rh_Cat419,-2610.11321342
Rh_Cat41,-3907.66609430
Rh_Cat420,-2610.10210926
Rh_Cat421,-2610.11208239
Rh_Cat422,-3368.52353180
Rh_Cat423,-2753.76220725
Rh_Cat424,-2910.90387343
Rh_Cat425,-3150.52135243
Rh_Cat426,-2910.91183789
Rh_Cat427,-4591.64301769
Rh_Cat428,-2610.11084104
Rh_Cat429,-2767.24722213
Rh_Cat42,-2226.92637296
Rh_Cat430,-2000.86451586
Rh_Cat431,-2315.12561840
Rh_Cat432,-10752.4906145
Rh_Cat433,-2910.90705634
Rh_Cat434,-2767.25535054
Rh_Cat435,-3006.88167813
Rh_Cat436,-2065.82679769
Rh_Cat437,-2222.94884127
Rh_Cat438,-2694.33852820
Rh_Cat439,-2380.06264487
Rh_Cat43,-2226.90202334
Rh_Cat440,-2366.56935985
Rh_Cat441,-2837.97700316
Rh_Cat442,-2680.87114132
Rh_Cat443,-2846.67398677
Rh_Cat444,-2832.18038341
Rh_Cat445,-3289.97681907
Rh_Cat446,-3228.80058103
Rh_Cat447,-4670.06837177
Rh_Cat448,-2989.32303686
Rh_Cat449,-2989.28386908
Rh_Cat44,-2226.92594164
Rh_Cat451,-3747.72249041
Rh_Cat452,-3132.96921879
Rh_Cat453,-3290.10604500
Rh_Cat454,-3529.73333873
Rh_Cat455,-3290.12315823
Rh_Cat456,-4970.84958887
Rh_Cat457,-2989.33377304
Rh_Cat459,-2380.07689474
Rh_Cat45,-2985.34205170
Rh_Cat460,-2694.33989387
Rh_Cat461,-3289.96317903
Rh_Cat462,-3290.11918648
Rh_Cat465,-1758.43020721
Rh_Cat466,-1915.54888872
Rh_Cat467,-2386.93290199
Rh_Cat468,-2072.67561268
Rh_Cat469,-2059.19316194
Rh_Cat46,-2370.58102865
Rh_Cat470,-2530.60033877
Rh_Cat471,-2373.50365697
Rh_Cat472,-2539.27915993
Rh_Cat473,-2524.78548238
Rh_Cat474,-2982.58568180
Rh_Cat475,-2921.55830522
Rh_Cat476,-4362.67445739
Rh_Cat477,-2681.92898304
Rh_Cat478,-2681.92093758
Rh_Cat479,-2681.92915919
Rh_Cat47,-2527.70555538
Rh_Cat480,-3440.34063287
Rh_Cat481,-2825.58484463
Rh_Cat482,-2982.71995275
Rh_Cat483,-3222.34641470
